,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
857,928563AE5,075887BW8,40434LAB1,90265EAM2,09247XAN1,92277GAM9,40434LAB1,75884RAX1,075887BW8,693506BP1,96949LAB1,444859BF8,191216CR9,14149YBJ6,68389XCD5,741503BC9,269246BQ6,701094AJ3,61746BEF9,49326EEG4,370334CG7,269246BS2,747525AE3,22966RAD8,40434LAB1,075887BW8,375558BM4,701094AJ3,126408HH9,824348AW6
858,06406RAD9,25468PDV5,037833CX6,099724AL0,444859BF8,883203BY6,037833CX6,693506BP1,25468PDV5,893574AK9,002824BM1,207597EJ0,458140BQ2,816851BA6,04621XAJ7,134429BG3,35671DCC7,833034AK7,78409VAM6,256677AF2,91159HHS2,931142EE9,747525AR4,6174467Y9,037833CX6,25468PDV5,833034AK7,833034AK7,337738BB3,053332AV4
859,22160KAM7,526057CV4,64110DAJ3,58013MFP4,29736RAJ9,49456BAP6,64110DAJ3,808513BP9,526057CV4,75884RAX1,053015AE3,883203BX8,57636QAR5,96949LAD7,29364WAW8,808513BP9,50540RAU6,375558BM4,38141GWB6,74456QBU9,06406RAH0,26444HAE1,747525AT0,037833DN7,64110DAJ3,526057CV4,701094AJ3,375558BM4,902494BC6,573284AQ9
860,693475AT2,14149YBJ6,90265EAM2,682680AS2,749685AV5,534187BH1,90265EAM2,92343VGH1,14149YBJ6,741503BC9,437076BK7,92343VDY7,654106AJ2,26138EAX7,58013MFF6,92343VGH1,03040WAQ8,808513AQ8,459200JR3,670346AP0,49326EEG4,682680AU7,74733VAB6,24422EVB2,90265EAM2,14149YBJ6,808513AQ8,808513AQ8,278642AU7,337738BB3
861,747525AU7,049560AN5,099724AL0,92343EAL6,207597EJ0,126408HJ5,58013MFP4,126650CX6,828807DC8,134429BG3,09062XAF0,713448ER5,373334KH3,00507VAM1,879360AD7,126650CX6,67103HAF4,478160CE2,20030NBY6,20030NCH2,20030NCH2,25389JAT3,74733VAC4,437076BN1,099724AL0,828807DC8,478160CE2,478160CE2,075887BW8,902494BC6
862,191216CE8,26138EAX7,58013MFP4,189754AC8,92343VDY7,718172CE7,099724AL0,68389XCD5,57772KAD3,808513BP9,548661DH7,92343VFF6,92277GAL1,052769AE6,37045XDH6,68389XCD5,22822VAH4,14040HBN4,75884RAV5,609207AM7,74456QBU9,15135BAY7,78355HKD0,081437AS4,58013MFP4,57772KAD3,14040HBN4,14040HBN4,25468PDV5,278642AU7
863,053332AV4,052769AE6,682680AS2,871829BF3,713448ER5,863667AQ4,682680AS2,04621XAJ7,052769AE6,92343VGH1,682680BA0,191216CR9,87236YAF5,57772KAD3,79466LAF1,04621XAJ7,29364WAZ1,855244AV1,666807BK7,487836BW7,670346AP0,172967KU4,78355HKM0,26138EAU3,682680AS2,052769AE6,855244AV1,855244AV1,526057CV4,075887BW8
864,573284AQ9,57772KAD3,92343EAL6,03027XAP5,92343VFF6,316773CV0,92343EAL6,605417CB8,12189LBA8,126650CX6,07330MAB3,742718FG9,038222AL9,40434LAB1,12541WAA8,605417CB8,24422ETW9,09247XAN1,00724PAC3,189054AW9,256677AF2,655844BZ0,78355HKF5,03076CAH9,92343EAL6,12189LBA8,09247XAN1,09247XAN1,96949LAD7,25468PDV5
865,126408HH9,816851BA6,03027XAP5,94974BGL8,191216CR9,893574AK9,189754AC8,58013MFF6,26138EAX7,68389XCD5,94974BGP9,458140BQ2,49446RAS8,037833CX6,084659AM3,29364WAW8,98978VAL7,883203BX8,31677QBR9,369550BC1,609207AM7,665859AT1,78355HKG3,74456QBR6,189754AC8,26138EAX7,883203BX8,883203BX8,052769AE6,526057CV4
866,824348AW6,12189LBA8,189754AC8,501044DJ7,742718FG9,134429BG3,03027XAP5,29364WAW8,049560AN5,04621XAJ7,49427RAL6,57636QAR5,66775VAB1,64110DAJ3,370334CG7,58013MFF6,037833DB3,29736RAJ9,907818FJ2,02361DAS9,209111FP3,31620RAH8,78355HKH1,872540AQ2,313747AY3,049560AN5,29736RAJ9,29736RAJ9,049560AN5,12189LBA8
