,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
931427AS7,150.0,150.0,300.0,100.0,850.0,120.0,100.0,7,200,250.0,150.0,250.0,250.0,150.0,150.0,150,200.0,150,250.0,250.0,120.0,250,250,150.0,250.0,200.0,700.0,150.0,1000.0,300.0
962166BY9,150.0,200.0,100.0,200.0,150.0,200.0,100.0,150,150,200.0,150.0,100.0,100.0,150.0,250.0,100,150.0,150,100.0,250.0,200.0,150,250,150.0,200.0,150.0,100.0,150.0,250.0,200.0
29736RAQ3,150.0,200.0,200.0,200.0,250.0,200.0,200.0,150,150,20.0,150.0,100.0,100.0,150.0,250.0,5,150.0,100,100.0,200.0,150.0,150,100,250.0,150.0,150.0,250.0,100.0,250.0,250.0
370334CL6,200.0,150.0,200.0,200.0,150.0,50.0,200.0,200,250,6.0,150.0,250.0,100.0,150.0,150.0,50,150.0,150,250.0,250.0,200.0,150,41,150.0,250.0,250.0,50.0,150.0,100.0,1000.0
88579YBN0,150.0,150.0,250.0,200.0,150.0,150.0,3.0,250,200,250.0,200.0,150.0,5.0,100.0,250.0,5,2.0,150,3.0,250.0,200.0,100,250,200.0,250.0,200.0,25.0,150.0,2.0,200.0
437076CB6,250.0,250.0,25.0,25.0,250.0,250.0,25.0,250,250,300.0,250.0,25.0,500.0,100.0,250.0,250,300.0,250,25.0,25.0,250.0,25,25,250.0,25.0,250.0,25.0,250.0,25.0,25.0
918204BC1,150.0,150.0,100.0,250.0,250.0,100.0,100.0,200,90,200.0,200.0,200.0,150.0,100.0,250.0,200,100.0,150,250.0,200.0,200.0,200,150,250.0,150.0,90.0,250.0,150.0,150.0,150.0
681919BB1,100.0,150.0,5.0,100.0,150.0,200.0,2.0,150,2,200.0,150.0,150.0,100.0,100.0,200.0,150,5.0,150,200.0,100.0,150.0,729,729,200.0,200.0,2.0,250.0,150.0,150.0,250.0
842587DE4,200.0,200.0,250.0,250.0,250.0,250.0,250.0,150,250,250.0,150.0,250.0,150.0,200.0,5.0,250,15.0,250,150.0,15.0,250.0,200,71,250.0,100.0,250.0,250.0,250.0,15.0,5000.0
053611AK5,200.0,250.0,200.0,150.0,200.0,200.0,200.0,250,150,250.0,165.0,200.0,100.0,250.0,200.0,150,175.0,150,100.0,200.0,200.0,150,210,200.0,200.0,150.0,150.0,150.0,90.0,250.0
